Molecule ID,AB,,AC,,AD,,AE,
,Bit (-1),Frequency (-1),Bit (-1),Frequency (-1),Bit (-1),Frequency (-1),Bit (-1),Frequency (-1)
791,792,335052,792,14800,792,12840,792,1640
1916,1917,334536,1917,14356,1917,15466,1917,2035
0,1,330252,1,11872,1,11008,1,1760
1082,1083,324800,1083,16100,1083,15318,1083,1564
1154,1155,318150,1155,11088,1155,12390,1155,1302
7,8,313484,8,9750,8,10050,8,1375
1084,1085,311190,1085,13596,1085,13167,1085,1584
545,546,299128,546,10983,546,10584,546,1281
2,3,297882,3,11362,3,11518,3,1404
2038,2039,296439,2039,10900,2039,11250,2039,1650
1989,1990,292644,1990,16168,1990,15050,1990,1462
1862,1863,291942,1863,14450,1863,15742,1863,1632
1218,1219,289990,1219,15694,1219,15352,1219,1748
1555,1556,287000,1556,10179,1556,10647,1556,1677
805,806,277263,806,11424,806,10800,806,1488
18,19,269892,19,9870,19,10353,19,1407
1722,1723,264438,1723,7684,1723,7990,1723,969
1849,1850,263662,1850,12012,1850,11648,1850,1690
5,6,256861,6,10143,6,11711,6,1274
645,646,256540,646,14883,646,15114,646,1683
856,857,256389,857,10450,857,11325,857,725
597,598,254009,598,11070,598,11111,598,1927
1372,1373,249991,1373,7820,1373,8160,1373,1054
50,51,222292,51,12432,51,13664,51,1876
1914,1915,221972,1915,6318,1915,6487,1915,871
17,18,221920,18,9200,18,9088,18,1024
1394,1395,220990,1395,10100,1395,10540,1395,1380
790,791,216664,791,9036,791,8910,791,1116
821,822,214666,822,8106,822,7980,822,896
1931,1932,210862,1932,8128,1932,8672,1932,1104
1378,1379,208400,1379,10298,1379,10260,1379,1501
533,534,203830,534,10020,534,11080,534,1380
441,442,201334,442,9861,442,10070,442,1197
690,691,200896,691,6444,691,5904,691,864
1033,1034,200718,1034,8240,1034,8144,1034,992
2040,2041,200552,2041,10792,2041,10811,2041,1178
1338,1339,198790,1339,8976,1339,9072,1339,1152
223,224,197290,224,12840,224,11952,224,1752
803,804,197288,804,10700,804,10680,804,1200
1667,1668,194238,1668,7462,1668,7238,1668,1036
778,779,193695,779,7950,779,8085,779,1110
2043,2044,190624,2044,6136,2044,6383,2044,819
427,428,188760,428,8100,428,8910,428,1026
1487,1488,186600,1488,6684,1488,6780,1488,852
965,966,184983,966,9712,966,9296,966,1136
396,397,177592,397,7046,397,7423,397,806
1216,1217,177292,1217,8823,1217,9214,1217,884
4,5,177270,5,8466,5,9265,5,1037
834,835,173383,835,6890,835,7020,835,754
1736,1737,172463,1737,6456,1737,6444,1737,864
1885,1886,172064,1886,6540,1886,6408,1886,780
625,626,169940,626,7896,626,7574,626,980
823,824,168462,824,6380,824,6468,824,770
589,590,166380,590,4851,590,5004,590,639
2039,2040,164994,2040,6825,2040,6305,2040,1495
1848,1849,163877,1849,4216,1849,4232,1849,568
820,821,163413,821,4568,821,4720,821,584
1144,1145,162624,1145,5770,1145,5880,1145,710
1222,1223,161745,1223,4102,1223,4193,1223,560
1007,1008,160744,1008,5698,1008,6017,1008,627
1730,1731,159664,1731,7020,1731,6864,1731,696
836,837,159333,837,10540,837,10660,837,1360
1299,1300,159000,1300,10134,1300,9972,1300,1080
1008,1009,155955,1009,7644,1009,7553,1009,962
1172,1173,155397,1173,2192,1173,2136,1173,288
807,808,154530,808,5300,808,5420,808,750
1808,1809,148444,1809,5328,1809,5436,1809,720
1056,1057,146410,1057,2284,1057,2348,1057,316
1388,1389,145858,1389,4624,1389,4696,1389,576
293,294,145800,294,10062,294,10368,294,1080
1219,1220,145507,1220,7188,1220,7236,1220,924
825,826,145159,826,4568,826,4504,826,608
1484,1485,144904,1485,4688,1485,4776,1485,616
79,80,144716,80,5973,80,6270,80,792
2033,2034,143676,2034,5852,2034,6193,2034,836
1875,1876,142340,1876,7904,1876,7813,1876,962
1777,1778,136746,1778,4840,1778,4856,1778,536
502,503,132680,503,6140,503,6200,503,800
1924,1925,132297,1925,3801,1925,3864,1925,518
1234,1235,130248,1235,4912,1235,4928,1235,592
1751,1752,129986,1752,7092,1752,7068,1752,852
655,656,129860,656,5910,656,5760,656,670
804,805,129574,805,3010,805,3040,805,300
660,661,129096,661,7188,661,7008,661,924
1113,1114,127058,1114,7644,1114,8190,1114,924
975,976,126228,976,4186,976,4305,976,532
15,16,125454,16,7410,16,7319,16,988
1752,1753,124354,1753,7200,1753,7176,1753,852
467,468,124028,468,5337,468,5283,468,675
514,515,123646,515,4792,515,4872,515,536
1389,1390,123579,1390,2915,1390,3000,1390,395
205,206,123520,206,4928,206,5008,206,584
1477,1478,122610,1478,8092,1478,8274,1478,854
981,982,121824,982,3702,982,3738,982,474
231,232,121545,232,5929,232,6116,232,649
1606,1607,121485,1607,6468,1607,6512,1607,803
1982,1983,119952,1983,5337,1983,5544,1983,738
1878,1879,118770,1879,4305,1879,4186,1879,574
417,418,117066,418,3678,418,3714,418,468
949,950,116460,950,6100,950,6130,950,720
259,260,116112,260,4333,260,4298,260,518
838,839,114885,839,6292,839,6270,839,594
232,233,114873,233,4832,233,4800,233,592
670,671,114023,671,4904,671,4856,671,640
475,476,113826,476,4025,476,4109,476,532
1671,1672,111800,1672,5920,1672,5940,1672,810
124,125,109343,125,4151,125,4249,125,546
1289,1290,108876,1290,7296,1290,7236,1290,948
1357,1358,108500,1358,6677,1358,6413,1358,671
1098,1099,108329,1099,5328,1099,5400,1099,702
1047,1048,107910,1048,4319,1048,4326,1048,532
1719,1720,107536,1720,1764,1720,1815,1720,222
1679,1680,106848,1680,6040,1680,5880,1680,790
713,714,106468,714,3558,714,3636,714,462
1623,1624,106436,1624,2995,1624,3040,1624,380
1949,1950,106108,1950,2456,1950,2464,1950,296
1465,1466,105700,1466,4004,1466,4228,1466,511
1641,1642,105417,1642,4936,1642,4928,1642,648
492,493,104809,493,3105,493,3160,493,410
1437,1438,103656,1438,3962,1438,4277,1438,539
927,928,103108,928,4592,928,4856,928,640
123,124,102648,124,5490,124,5436,124,711
501,502,102204,502,1246,502,1270,502,166
1419,1420,101088,1420,5418,1420,5427,1420,675
697,698,100082,698,4696,698,4808,698,552
1152,1153,99909,1153,2488,1153,2504,1153,312
1913,1914,98436,1914,4752,1914,4768,1914,632
1070,1071,98340,1071,5064,1071,5064,1071,616
222,223,98282,223,3558,223,3582,223,468
1402,1403,97050,1403,3020,1403,3095,1403,395
151,152,96672,152,1204,152,1200,152,140
1656,1657,96600,1657,3570,1657,3552,1657,480
322,323,96187,323,2975,323,2955,323,360
197,198,95700,198,3726,198,3660,198,456
1294,1295,95062,1295,5930,1295,6110,1295,640
10,11,94950,11,4640,11,4560,11,592
1498,1499,94572,1499,3150,1499,3160,1499,385
1927,1928,94227,1928,5463,1928,5409,1928,684
1370,1371,94024,1371,3135,1371,3140,1371,335
801,802,93775,802,4784,802,4792,802,576
576,577,92710,577,3630,577,3648,577,408
1673,1674,91932,1674,6050,1674,6000,1674,780
766,767,91218,767,5016,767,4992,767,608
1703,1704,91060,1704,4249,1704,4284,1704,497
216,217,90663,217,0,217,0,217,0
31,32,90576,32,636,32,635,32,80
8,9,90528,9,2456,9,2512,9,328
714,715,90390,715,3165,715,3155,715,400
363,364,90146,364,4298,364,4326,364,553
1329,1330,89460,1330,4235,1330,4235,1330,518
277,278,89232,278,1899,278,1926,278,243
1208,1209,89180,1209,2448,1209,2452,1209,320
430,431,88689,431,6622,431,6842,431,726
1707,1708,88672,1708,1863,1708,1863,1708,237
1441,1442,88543,1442,3672,1442,3774,1442,420
484,485,88536,485,2496,485,2404,485,244
1010,1011,88264,1011,2464,1011,2432,1011,324
950,951,87817,951,4832,951,4944,951,552
1153,1154,87720,1154,1827,1154,1836,1154,204
1221,1222,87636,1222,2464,1222,2464,1222,328
1840,1841,86849,1841,3720,1841,3780,1841,480
1348,1349,86840,1349,4403,1349,4417,1349,581
1987,1988,86698,1988,3600,1988,3762,1988,408
1593,1594,86051,1594,606,1594,606,1594,81
2015,2016,85656,2016,2500,2016,2528,2016,324
1385,1386,85346,1386,4888,1386,4984,1386,616
131,132,85281,132,1839,132,1866,132,240
1272,1273,85272,1273,3969,1273,4249,1273,546
1067,1068,85150,1068,1896,1068,1890,1068,225
921,922,84736,922,3165,922,3195,922,410
1215,1216,83720,1216,1857,1216,1887,1216,213
1680,1681,83394,1681,5000,1681,5128,1681,648
885,886,83214,886,3075,886,3070,886,390
147,148,82908,148,5562,148,5499,148,684
806,807,82890,807,2820,807,2940,807,370
1665,1666,82782,1666,4319,1666,4326,1666,490
2022,2023,82304,2023,2448,2023,2504,2023,316
1193,1194,81750,1194,623,1194,633,1194,77
415,416,81500,416,2464,416,2484,416,320
1346,1347,80892,1347,4389,1347,4368,1347,560
1245,1246,80223,1246,3000,1246,3170,1246,415
1003,1004,80104,1004,4368,1004,4438,1004,574
756,757,80000,757,3150,757,3130,757,405
602,603,79800,603,2516,603,2472,603,296
789,790,79788,790,3065,790,3030,790,405
554,555,79779,555,1794,555,1773,555,231
298,299,79704,299,4424,299,4396,299,441
1769,1770,79690,1770,2995,1770,3080,1770,395
1948,1949,79484,1949,4382,1949,4298,1949,581
626,627,78824,627,3185,627,3180,627,405
1145,1146,78720,1146,3672,1146,3714,1146,462
565,566,78650,566,3080,566,3000,566,375
266,267,78470,267,3780,267,3756,267,432
1504,1505,78116,1505,3065,1505,3095,1505,410
604,605,77682,605,3672,605,3720,605,462
1086,1087,76874,1087,1872,1087,1842,1087,222
46,47,76636,47,3110,47,3115,47,395
1285,1286,76590,1286,3105,1286,3175,1286,385
1260,1261,76517,1261,2544,1261,2552,1261,272
332,333,76049,333,1920,333,1917,333,237
1697,1698,75785,1698,2536,1698,2548,1698,328
1850,1851,75710,1851,1917,1851,1929,1851,237
1981,1982,75591,1982,2540,1982,2536,1982,324
498,499,75354,499,4396,499,4291,499,567
2005,2006,75284,2006,3090,2006,3095,2006,400
1731,1732,75231,1732,1857,1732,1875,1732,225
1677,1678,75152,1678,4438,1678,4459,1678,553
769,770,75126,770,1256,770,1252,770,154
1478,1479,75052,1479,4256,1479,4305,1479,574
919,920,74936,920,2436,920,2464,920,324
788,789,74703,789,1869,789,1773,789,240
1761,1762,74693,1762,1875,1762,1896,1762,240
1805,1806,74635,1806,3140,1806,3160,1806,400
905,906,74222,906,4263,906,4333,906,455
1925,1926,73472,1926,2452,1926,2420,1926,316
400,401,73416,401,2464,401,2428,401,300
1705,1706,73357,1706,2492,1706,2496,1706,328
619,620,73224,620,1932,620,1944,620,249
1597,1598,73074,1598,4944,1598,4992,1598,592
37,38,72270,38,5562,38,5706,38,612
1111,1112,72036,1112,3200,1112,3250,1112,410
1708,1709,71722,1709,3702,1709,3738,1709,486
1052,1053,71656,1053,4410,1053,4403,1053,574
792,793,71020,793,3170,793,3110,793,410
718,719,70727,719,3090,719,3135,719,390
770,771,70513,771,2456,771,2448,771,300
1554,1555,70455,1555,2512,1555,2508,1555,332
552,553,70406,553,1878,553,1860,553,222
933,934,70224,934,5553,934,5598,934,693
116,117,70200,117,4368,117,4361,117,532
900,901,70192,901,1869,901,1908,901,246
826,827,69978,827,2520,827,2516,827,324
1102,1103,69960,1103,4277,1103,4277,1103,518
870,871,69854,871,2548,871,2520,871,316
1921,1922,69642,1922,4424,1922,4487,1922,525
812,813,69628,813,3852,813,3804,813,498
466,467,69112,467,2488,467,2544,467,320
1978,1979,68801,1979,3756,1979,3732,1979,456
692,693,68646,693,0,693,0,693,0
497,498,68495,498,3120,498,3130,498,410
727,728,68328,728,5072,728,5144,728,600
937,938,68175,938,3750,938,3738,938,498
1016,1017,68074,1017,1908,1017,1899,1017,243
1269,1270,68034,1270,3165,1270,3180,1270,385
564,565,67774,565,2472,565,2520,565,320
313,314,67734,314,3130,314,3145,314,405
941,942,67266,942,1893,942,1905,942,246
1753,1754,67259,1754,3125,1754,3075,1754,410
1881,1882,67200,1882,2596,1882,2588,1882,332
1888,1889,67089,1889,4896,1889,4944,1889,648
1149,1150,67000,1150,638,1150,636,1150,83
1263,1264,66963,1264,3160,1264,3135,1264,405
230,231,66950,231,1851,231,1863,231,228
1442,1443,66761,1443,1248,1443,1278,1443,136
1277,1278,66761,1278,1857,1278,1872,1278,231
265,266,66504,266,3170,266,3215,266,400
1232,1233,66346,1233,1276,1233,1294,1233,158
974,975,66248,975,3744,975,3792,975,486
357,358,66132,358,2532,358,2544,358,332
132,133,66033,133,635,133,635,133,81
19,20,65954,20,5553,20,5598,20,702
1836,1837,65892,1837,1815,1837,1851,1837,213
715,716,65758,716,1270,716,1278,716,162
1393,1394,65736,1394,3774,1394,3810,1394,480
1742,1743,65650,1743,4312,1743,4256,1743,567
861,862,65600,862,1818,862,1926,862,243
1050,1051,65464,1051,3110,1051,3095,1051,405
1354,1355,65241,1355,1899,1355,1920,1355,240
2016,2017,65091,2017,2310,2017,2450,2017,630
1956,1957,65072,1957,3744,1957,3750,1957,498
1135,1136,64992,1136,3205,1136,3195,1136,405
199,200,64778,200,1911,200,1917,200,243
1363,1364,64320,1364,4944,1364,5128,1364,600
539,540,64224,540,1917,540,1902,540,246
1451,1452,63935,1452,2548,1452,2552,1452,332
1905,1906,63840,1906,3798,1906,3834,1906,456
1672,1673,63826,1673,3170,1673,3225,1673,395
1637,1638,63745,1638,1917,1638,1926,1638,249
986,987,63657,987,3714,987,3696,987,462
1328,1329,63519,1329,645,1329,648,1329,81
2017,2018,63360,2018,3738,2018,3750,2018,480
1392,1393,63147,1393,3245,1393,3230,1393,410
550,551,62886,551,2512,551,2396,551,328
1270,1271,62682,1271,3155,1271,3195,1271,410
426,427,62605,427,3798,427,3834,427,444
819,820,62496,820,4382,820,4445,820,581
648,649,62304,649,0,649,0,649,0
1002,1003,62274,1003,1845,1003,1875,1003,246
241,242,62008,242,1276,242,1292,242,162
1937,1938,61516,1938,1890,1938,1902,1938,243
316,317,61364,317,4396,317,4368,317,497
1123,1124,61334,1124,1878,1124,1893,1124,243
1781,1782,61180,1782,2496,1782,2532,1782,312
431,432,61088,432,4403,432,4270,432,574
1767,1768,60788,1768,1920,1768,1905,1768,249
549,550,60697,550,4417,550,4333,550,567
1552,1553,60570,1553,1274,1553,1270,1553,162
665,666,60352,666,2428,666,2464,666,320
1796,1797,60300,1797,3170,1797,3105,1797,405
898,899,60151,899,1890,899,1908,899,192
73,74,60104,74,3170,74,3245,74,410
1684,1685,60075,1685,3828,1685,3852,1685,486
800,801,60075,801,2556,801,2556,801,328
2028,2029,59897,2029,3798,2029,3816,2029,486
1089,1090,59752,1090,1280,1090,1280,1090,164
758,759,59541,759,4473,759,4522,759,553
487,488,59541,488,1920,488,1920,488,249
997,998,59340,998,4960,998,4936,998,592
1253,1254,59220,1254,1854,1254,1902,1254,246
342,343,59220,343,1857,343,1881,343,234
1119,1120,59160,1120,3185,1120,3210,1120,415
2034,2035,59096,2035,1268,2035,1252,2035,162
1631,1632,59059,1632,1248,1632,1256,1632,144
275,276,59048,276,2560,276,2568,276,312
1449,1450,59048,1450,3185,1450,3165,1450,370
1150,1151,59040,1151,2512,1151,2536,1151,308
1835,1836,58968,1836,4270,1836,4193,1836,546
1947,1948,58877,1948,1266,1948,1274,1948,162
1273,1274,58860,1274,3720,1274,3618,1274,486
307,308,58696,308,1252,308,1268,308,156
531,532,58680,532,1262,532,1280,532,164
641,642,58651,642,3090,642,3160,642,400
947,948,58520,948,3120,948,3110,948,410
1841,1842,58520,1842,1935,1842,1941,1842,246
969,970,58473,970,1893,970,1938,970,234
402,403,58464,403,3180,403,3130,403,415
1374,1375,58168,1375,1248,1375,1252,1375,156
1546,1547,58116,1547,1905,1547,1911,1547,243
1785,1786,58050,1786,1908,1786,1845,1786,249
1368,1369,58029,1369,3870,1369,3912,1369,492
488,489,57992,489,1884,489,1881,489,240
284,285,57939,285,2536,285,2540,285,320
1358,1359,57904,1359,2568,1359,2528,1359,316
747,748,57816,748,3075,748,3075,748,400
1874,1875,57800,1875,3185,1875,3165,1875,405
1071,1072,57672,1072,2512,1072,2496,1072,300
742,743,57405,743,1887,743,1890,743,228
773,774,57288,774,4368,774,4417,774,567
682,683,57120,683,1929,683,1911,683,246
556,557,57036,557,3205,557,3215,557,405
166,167,56950,167,3816,167,3852,167,462
594,595,56938,595,2560,595,2588,595,332
470,471,56936,471,1278,471,1274,471,134
527,528,56780,528,2528,528,2512,528,320
21,22,56700,22,3190,22,3165,22,410
738,739,56700,739,1288,739,1272,739,156
875,876,56695,876,1268,876,1280,876,164
1559,1560,56674,1560,2516,1560,2540,1560,280
1587,1588,56588,1588,1884,1588,1905,1588,228
511,512,56448,512,3822,512,3864,512,498
1803,1804,56158,1804,3145,1804,3190,1804,400
1720,1721,56028,1721,1863,1721,1869,1721,210
704,705,56028,705,1905,705,1911,705,234
995,996,56025,996,1284,996,1292,996,152
387,388,56015,388,3125,388,3105,388,405
983,984,56015,984,644,984,641,984,82
1959,1960,56015,1960,1917,1960,1902,1960,246
1014,1015,55900,1015,1890,1015,1884,1015,234
16,17,55860,17,1218,17,1272,17,166
1383,1384,55842,1384,3240,1384,3235,1384,405
864,865,55760,865,1938,865,1950,865,240
1556,1557,55693,1557,1272,1557,1266,1557,164
1868,1869,55678,1869,2576,1869,2572,1869,332
1274,1275,55642,1275,1866,1275,1917,1275,237
570,571,55514,571,637,571,639,571,77
6,7,55432,7,1944,7,1947,7,237
1058,1059,55361,1059,3145,1059,3185,1059,350
961,962,55278,962,3160,962,3110,962,415
1613,1614,55278,1614,3140,1614,3120,1614,380
971,972,55126,972,602,972,622,972,80
1906,1907,55080,1907,1890,1907,1911,1907,246
705,706,54936,706,2548,706,2548,706,312
536,537,54858,537,625,537,630,537,82
1256,1257,54837,1257,2564,1257,2540,1257,316
85,86,54837,86,1902,86,1911,86,246
667,668,54684,668,1851,668,1899,668,234
337,338,54600,338,4277,338,4361,338,476
1933,1934,54594,1934,1296,1934,1294,1934,166
1042,1043,54560,1043,1280,1043,1284,1043,166
647,648,54432,648,1260,648,1260,648,166
203,204,54240,204,3822,204,3786,204,492
1640,1641,54145,1641,3065,1641,3065,1641,380
2024,2025,54000,2025,2556,2025,2592,2025,328
909,910,53920,910,636,910,642,910,81
575,576,53710,576,1228,576,1232,576,158
344,345,53703,345,0,345,0,345,0
1020,1021,53664,1021,651,1021,653,1021,81
1344,1345,53483,1345,1252,1345,1268,1345,166
1856,1857,53379,1857,1264,1857,1290,1857,164
71,72,53167,72,1917,72,1917,72,246
796,797,53120,797,3185,797,3175,797,355
78,79,53118,79,4438,79,4431,79,567
1995,1996,53053,1996,2596,1996,2608,1996,332
1663,1664,53040,1664,2488,1664,2512,1664,316
1583,1584,52880,1584,2825,1584,3100,1584,390
1544,1545,52812,1545,1911,1545,1935,1545,249
1675,1676,52800,1676,1272,1676,1288,1676,140
194,195,52650,195,1914,195,1887,195,243
2008,2009,52456,2009,1902,2009,1899,2009,249
746,747,52400,747,3155,747,3130,747,400
276,277,52338,277,3195,277,3210,277,410
1695,1696,52320,1696,643,1696,646,1696,78
61,62,52288,62,0,62,0,62,0
729,730,52104,730,2560,730,2584,730,324
1022,1023,52052,1023,2544,1023,2556,1023,328
379,380,52000,380,1887,380,1908,380,240
1178,1179,51975,1179,1282,1179,1288,1179,166
1335,1336,51903,1336,0,1336,0,1336,0
723,724,51898,724,1911,724,1902,724,249
45,46,51821,46,2516,46,2524,46,332
557,558,51756,558,1917,558,1932,558,249
815,816,51744,816,3195,816,3200,816,410
1366,1367,51744,1367,1863,1367,1938,1367,249
1974,1975,51714,1975,2572,1975,2576,1975,316
1040,1041,51590,1041,1908,1041,1890,1041,243
1176,1177,51587,1177,2528,1177,2552,1177,300
1384,1385,51587,1385,3828,1385,3840,1385,426
1359,1360,51376,1360,623,1360,643,1360,82
948,949,51282,949,3810,949,3792,949,480
1077,1078,51225,1078,0,1078,0,1078,0
1782,1783,51075,1783,1300,1783,1310,1783,160
173,174,50996,174,1280,174,1292,174,164
1521,1522,50974,1522,2508,1522,2544,1522,332
886,887,50920,887,3225,887,3220,887,410
1903,1904,50897,1904,2448,1904,2556,1904,324
1638,1639,50844,1639,2500,1639,2512,1639,320
401,402,50844,402,2544,402,2572,402,328
760,761,50820,761,1896,761,1893,761,240
163,164,50775,164,1268,164,1272,164,160
1205,1206,50700,1206,622,1206,637,1206,81
977,978,50700,978,1920,978,1941,978,240
542,543,50666,543,2484,543,2524,543,308
765,766,50616,766,3130,766,3165,766,415
1379,1380,50540,1380,1288,1380,1306,1380,160
637,638,50475,638,629,638,637,638,80
1343,1344,50400,1344,3170,1344,3215,1344,375
699,700,50325,700,1270,700,1292,700,160
142,143,50098,143,1290,143,1288,143,166
1516,1517,50050,1517,3624,1517,3804,1517,384
1162,1163,49950,1163,1911,1163,1881,1163,249
1199,1200,49876,1200,3210,1200,3175,1200,410
225,226,49800,226,1893,226,1869,226,240
1,2,49756,2,1064,2,1368,2,304
182,183,49728,183,0,183,0,183,0
509,510,49654,510,639,510,642,510,83
696,697,49494,697,2572,697,2536,697,324
998,999,49421,999,1902,999,1905,999,249
538,539,49421,539,1278,539,1282,539,162
2013,2014,49358,2014,3175,2014,3195,2014,390
535,536,49358,536,1935,536,1938,536,240
1109,1110,49324,1110,1911,1110,1935,1110,249
1861,1862,49280,1862,1260,1862,1262,1862,166
674,675,49136,675,1280,675,1288,675,156
1030,1031,49129,1031,2560,1031,2548,1031,316
1297,1298,49032,1298,1899,1298,1899,1298,237
640,641,48983,641,3200,641,3200,641,405
1968,1969,48910,1969,1268,1969,1286,1969,138
1340,1341,48618,1341,1896,1341,1911,1341,231
1955,1956,48618,1956,2540,1956,2564,1956,312
824,825,48528,825,642,825,652,825,82
1506,1507,48528,1507,1290,1507,1282,1507,160
1345,1346,48525,1346,1875,1346,1890,1346,243
1275,1276,48396,1276,2508,1276,2532,1276,280
1718,1719,48326,1719,1923,1719,1941,1719,222
572,573,48312,573,1911,573,1908,573,249
1869,1870,48240,1870,1893,1870,1887,1870,237
651,652,48240,652,1932,652,1932,652,246
1756,1757,48168,1757,635,1757,639,1757,71
448,449,48024,449,1264,449,1288,449,164
3,4,48020,4,1752,4,1460,4,438
1828,1829,47996,1829,2568,1829,2584,1829,320
1159,1160,47880,1160,2564,1160,2580,1160,324
1823,1824,47854,1824,1887,1824,1911,1824,246
1268,1269,47810,1269,1298,1269,1306,1269,164
2025,2026,47810,2026,1294,2026,1294,2026,166
103,104,47740,104,3220,104,3215,104,415
270,271,47530,271,1935,271,1947,271,249
1184,1185,47530,1185,3085,1185,3150,1185,405
302,303,47460,303,1284,303,1280,303,166
721,722,47376,722,1935,722,1902,722,240
494,495,47376,495,2460,495,2432,495,328
1503,1504,47357,1504,1286,1504,1296,1504,164
1543,1544,47232,1544,1893,1544,1905,1544,243
1643,1644,47215,1644,646,1644,648,1644,83
1930,1931,47215,1931,4382,1931,4368,1931,560
