Molecule ID,AB,,AC,,AD,,AE,
1600,1601,47180,1601,2528,1601,2560,1601,324
1413,1414,47127,1414,3245,1414,3245,1414,410
465,466,47058,466,1935,466,1944,466,219
1773,1774,46900,1774,3786,1774,3822,1774,498
1768,1769,46900,1769,625,1769,636,1769,71
473,474,46860,474,629,474,630,474,83
908,909,46851,909,1926,909,1899,909,249
350,351,46851,351,4529,351,4508,351,546
1845,1846,46830,1846,1917,1846,1923,1846,234
1258,1259,46760,1259,1899,1259,1923,1259,243
1255,1256,46760,1256,638,1256,638,1256,78
1919,1920,46718,1920,1278,1920,1230,1920,162
1741,1742,46690,1742,3684,1742,3780,1742,486
110,111,46620,111,1908,111,1935,111,216
2035,2036,46576,2036,645,2036,646,2036,79
712,713,46575,713,635,713,645,713,83
113,114,46575,114,632,114,636,114,83
1661,1662,46434,1662,1893,1662,1923,1662,249
635,636,46376,636,1926,636,1929,636,249
414,415,46376,415,1280,415,1290,415,162
1197,1198,46368,1198,3145,1198,3120,1198,415
126,127,46368,127,1238,127,1268,127,162
234,235,46368,235,638,235,643,235,82
1783,1784,46240,1784,3180,1784,3165,1784,385
991,992,46240,992,3798,992,3804,992,474
2045,2046,46200,2046,3828,2046,3858,2046,432
621,622,46172,622,1294,622,1280,622,156
569,570,46161,570,1280,570,1278,570,160
787,788,46092,788,1935,788,1914,788,240
1147,1148,46080,1148,2532,1148,2508,1148,328
1452,1453,45990,1453,0,1453,0,1453,0
1080,1081,45885,1081,3220,1081,3225,1081,405
802,803,45885,803,2588,803,2588,803,312
1550,1551,45880,1551,2572,1551,2580,1551,324
186,187,45832,187,2584,187,2600,187,316
1969,1970,45828,1970,4536,1970,4550,1970,581
1789,1790,45828,1790,2600,1790,2600,1790,332
854,855,45696,855,1288,855,1296,855,162
1709,1710,45696,1710,1890,1710,1893,1710,228
634,635,45653,635,0,635,0,635,0
574,575,45627,575,1302,575,1312,575,162
181,182,45560,182,633,182,632,182,78
1786,1787,45402,1787,1278,1787,1294,1787,158
20,21,45359,21,1911,21,1905,21,234
1755,1756,45359,1756,3180,1756,3195,1756,360
1775,1776,45333,1776,1881,1776,1812,1776,210
585,586,45158,586,1935,586,1920,586,234
1013,1014,45091,1014,1878,1014,1947,1014,240
1944,1945,45024,1945,1935,1945,1968,1945,243
1992,1993,45012,1993,1926,1993,1926,1993,249
44,45,44890,45,3822,45,3840,45,486
1186,1187,44823,1187,1266,1187,1286,1187,162
1412,1413,44812,1413,3744,1413,3804,1413,474
304,305,44756,305,1288,305,1294,305,164
334,335,44748,335,2572,335,2584,335,324
1116,1117,44682,1117,1929,1117,1938,1117,237
1313,1314,44616,1314,1905,1314,1941,1314,243
321,322,44550,322,643,322,639,322,80
1225,1226,44484,1226,1294,1226,1304,1226,162
1351,1352,44404,1352,2484,1352,2564,1352,268
603,604,44352,604,2568,604,2536,604,328
1180,1181,44265,1181,0,1181,0,1181,0
1825,1826,44220,1826,1266,1826,1284,1826,156
348,349,44220,349,2508,349,2544,349,324
1012,1013,44220,1013,635,1013,623,1013,79
149,150,44220,150,1920,150,1911,150,234
1645,1646,44154,1646,2548,1646,2560,1646,268
808,809,44135,809,1923,809,1935,809,243
1880,1881,44088,1881,1278,1881,1294,1881,162
1986,1987,44070,1987,2596,1987,2612,1987,320
221,222,43904,222,1312,222,1312,222,166
935,936,43875,936,1274,936,1244,936,164
1129,1130,43758,1130,1923,1130,1950,1130,234
1482,1483,43680,1483,1869,1483,1932,1483,246
1090,1091,43615,1091,1911,1091,1911,1091,240
793,794,43584,794,2572,794,2588,794,312
1140,1141,43456,1141,1905,1141,1926,1141,246
2003,2004,43428,2004,1905,2004,1911,2004,246
897,898,43420,898,621,898,641,898,83
395,396,43392,396,1288,396,1274,396,166
953,954,43392,954,1935,954,1947,954,249
389,390,43392,390,634,390,643,390,81
754,755,43328,755,1920,755,1932,755,246
1502,1503,43328,1503,1270,1503,1280,1503,166
1744,1745,43230,1745,1872,1745,1902,1745,234
646,647,43225,647,1908,647,1914,647,243
1633,1634,43218,1634,1304,1634,1310,1634,166
339,340,43200,340,2592,340,2584,340,332
1415,1416,43200,1416,1286,1416,1288,1416,164
1811,1812,43160,1812,1256,1812,1248,1812,162
1105,1106,43155,1106,1290,1106,1300,1106,164
1444,1445,43155,1445,648,1445,653,1445,83
1165,1166,43136,1166,1262,1166,1280,1166,166
1428,1429,43095,1429,2536,1429,2556,1429,296
1501,1502,43072,1502,637,1502,645,1502,79
1791,1792,43072,1792,2528,1792,2548,1792,332
68,69,43029,69,2584,69,2592,69,332
1983,1984,42966,1984,2548,1984,2560,1984,316
551,552,42966,552,645,552,642,552,82
134,135,42944,135,2556,135,2584,135,308
411,412,42903,412,3245,412,3260,412,415
1943,1944,42880,1944,1911,1944,1926,1944,249
1821,1822,42880,1822,1264,1822,1266,1822,140
393,394,42816,394,1284,394,1284,394,166
490,491,42688,491,3205,491,3190,491,405
894,895,42510,895,1260,895,1294,895,166
672,673,42496,673,639,673,639,673,79
1177,1178,42470,1178,1294,1178,1298,1178,166
862,863,42470,863,0,863,0,863,0
1212,1213,42411,1213,1276,1213,1264,1213,164
743,744,42304,744,1899,744,1935,744,204
857,858,42284,858,647,858,651,858,83
873,874,42273,874,1935,874,1956,874,243
440,441,42222,441,1899,441,1923,441,249
268,269,42222,269,2588,269,2588,269,332
1475,1476,42160,1476,1288,1476,1302,1476,166
421,422,42098,422,1266,422,1282,422,162
1411,1412,42098,1412,1926,1412,1926,1412,234
1763,1764,42098,1764,1938,1764,1944,1764,246
33,34,42098,34,1908,34,1908,34,249
1203,1204,42098,1204,1280,1204,1292,1204,158
1961,1962,42021,1962,1244,1962,1262,1962,158
1130,1131,41974,1131,2576,1131,2604,1131,328
1713,1714,41958,1714,2532,1714,2596,1714,328
678,679,41912,679,646,679,645,679,83
893,894,41785,894,0,894,0,894,0
297,298,41778,298,3852,298,3828,298,474
1898,1899,41769,1899,1270,1899,1272,1899,164
1017,1018,41706,1018,1923,1018,1938,1018,249
1377,1378,41664,1378,1932,1378,1935,1378,231
100,101,41663,101,2580,101,2568,101,332
906,907,41663,907,1923,907,1950,907,246
289,290,41643,290,645,290,645,290,81
763,764,41602,764,642,764,643,764,81
140,141,41602,141,1296,141,1296,141,164
227,228,41602,228,630,228,640,228,83
274,275,41541,275,1938,275,1947,275,246
314,315,41541,315,2568,315,2568,315,328
320,321,41540,321,634,321,638,321,78
1251,1252,41540,1252,1294,1252,1288,1252,154
1265,1266,41478,1266,1294,1266,1302,1266,166
571,572,41354,572,648,572,639,572,80
1136,1137,41297,1137,1920,1137,1956,1137,249
83,84,41297,84,1908,84,1890,84,243
240,241,41168,241,2560,241,2588,241,316
1053,1054,41100,1054,652,1054,652,1054,83
125,126,40992,126,635,126,617,126,83
1455,1456,40931,1456,637,1456,639,1456,81
843,844,40920,844,1292,844,1296,844,166
1312,1313,40870,1313,645,1313,637,1313,83
1220,1221,40800,1221,643,1221,636,1221,83
476,477,40800,477,1290,477,1298,477,152
115,116,40748,116,1917,116,1920,116,249
1066,1067,40734,1067,1881,1067,1926,1067,228
724,725,40680,725,3816,725,3834,725,498
338,339,40620,339,1944,339,1950,339,234
1686,1687,40504,1687,1941,1687,1959,1687,243
1179,1180,40500,1180,1911,1180,1926,1180,228
1288,1289,40500,1289,640,1289,642,1289,81
1780,1781,40500,1781,1292,1781,1300,1781,166
404,405,40500,405,646,405,645,405,83
1046,1047,40415,1047,2604,1047,2608,1047,332
1727,1728,40320,1728,628,1728,638,1728,81
1404,1405,40320,1405,1284,1405,1282,1405,158
500,501,40320,501,1938,501,1944,501,234
1204,1205,40300,1205,1794,1205,1848,1205,189
1540,1541,40297,1541,645,1541,651,1541,83
982,983,40260,983,2572,983,2588,983,320
1158,1159,40238,1159,641,1159,639,1159,82
1594,1595,40179,1595,1282,1595,1292,1595,144
1122,1123,40140,1123,1932,1123,1938,1123,237
1515,1516,40140,1516,1288,1516,1304,1516,162
2009,2010,40120,2010,643,2010,647,2010,79
799,800,40080,800,2540,800,2572,800,328
544,545,40080,545,1268,545,1270,545,150
1660,1661,40061,1661,642,1661,644,1661,83
512,513,40020,513,1938,513,1962,513,246
439,440,39955,440,1905,440,1926,440,207
81,82,39900,82,1266,82,1286,82,160
220,221,39884,221,1288,221,1282,221,162
24,25,39884,25,0,25,0,25,0
1814,1815,39825,1815,0,1815,0,1815,0
499,500,39825,500,3210,500,3215,500,405
1764,1765,39672,1765,1932,1765,1926,1765,249
1065,1066,39648,1066,1274,1066,1282,1066,158
29,30,39648,30,3245,30,3275,30,415
480,481,39614,481,1280,481,1270,481,166
267,268,39556,268,645,268,641,268,82
1519,1520,39498,1520,1282,1520,1292,1520,154
1710,1711,39471,1711,2544,1711,2572,1711,320
1620,1621,39471,1621,1938,1621,1944,1621,249
1214,1215,39467,1215,2540,1215,2540,1215,324
1181,1182,39420,1182,0,1182,0,1182,0
1133,1134,39382,1134,1929,1134,1938,1134,249
668,669,39324,669,0,669,0,669,0
1132,1133,39324,1133,1292,1133,1288,1133,164
698,699,39273,699,1312,699,1304,699,166
717,718,39266,718,1929,718,1938,718,243
1565,1566,39235,1566,1896,1566,1929,1566,195
1784,1785,39235,1785,2532,1785,2512,1785,264
2044,2045,39235,2045,1244,2045,1282,2045,164
1395,1396,39216,1396,1294,1396,1314,1396,162
1542,1543,39216,1543,2516,1543,2576,1543,332
679,680,39208,680,627,680,642,680,82
1352,1353,39176,1353,1274,1353,1288,1353,150
1026,1027,39150,1027,3205,1027,3190,1027,405
1399,1400,39045,1400,1272,1400,1282,1400,166
145,146,39034,146,0,146,0,146,0
312,313,38976,313,1270,313,1274,313,162
386,387,38940,387,2540,387,2556,387,320
437,438,38881,438,1905,438,1926,438,246
938,939,38802,939,1274,939,1294,939,166
1108,1109,38760,1109,1296,1109,1302,1109,166
888,889,38760,889,3840,889,3846,889,480
1207,1208,38744,1208,1908,1208,1944,1208,240
1400,1401,38584,1401,0,1401,0,1401,0
308,309,38570,309,1929,309,1908,309,246
187,188,38532,188,2516,188,2552,188,292
1589,1590,38532,1590,646,1590,648,1590,83
1724,1725,38532,1725,2544,1725,2552,1725,308
2004,2005,38532,2005,639,2005,641,2005,79
89,90,38472,90,0,90,0,90,0
1837,1838,38454,1838,643,1838,644,1838,79
681,682,38418,682,1282,682,1264,682,144
842,843,38418,843,644,843,648,843,83
774,775,38409,775,2492,775,2556,775,304
434,435,38360,435,2548,435,2588,435,332
1471,1472,38338,1472,1926,1472,1926,1472,249
884,885,38304,885,1296,885,1292,885,166
1774,1775,38304,1775,2588,1775,2508,1775,324
1651,1652,38304,1652,1290,1652,1308,1652,156
109,110,38232,110,1274,110,1290,110,154
60,61,38136,61,2532,61,2544,61,332
722,723,38136,723,0,723,0,723,0
1134,1135,38100,1135,2564,1135,2540,1135,272
642,643,37990,643,2568,643,2572,643,328
1468,1469,37968,1469,1306,1469,1300,1469,162
1493,1494,37968,1494,1920,1494,1929,1494,249
171,172,37950,172,652,172,658,172,82
728,729,37912,729,1920,729,1887,729,249
518,519,37912,519,2544,519,2584,519,332
1895,1896,37912,1896,1947,1896,1953,1896,234
482,483,37912,483,0,483,0,483,0
1970,1971,37744,1971,3822,1971,3852,1971,474
329,330,37734,330,1250,330,1266,330,166
1189,1190,37700,1190,1911,1190,1926,1190,213
1326,1327,37688,1327,1290,1327,1292,1327,156
892,893,37688,893,2548,893,2552,893,292
1766,1767,37520,1767,1935,1767,1947,1767,246
306,307,37520,307,1935,307,1941,307,246
931,932,37510,932,1929,932,1941,932,249
262,263,37510,263,648,263,650,263,79
1479,1480,37510,1480,647,1480,651,1480,75
403,404,37464,404,1290,404,1308,404,164
1055,1056,37464,1056,1896,1056,1935,1056,246
119,120,37455,120,649,120,657,120,80
711,712,37455,712,1941,712,1953,712,246
1950,1951,37408,1951,1899,1951,1917,1951,210
1407,1408,37400,1408,638,1408,639,1408,83
1453,1454,37345,1454,2600,1454,2588,1454,320
2029,2030,37345,2030,1932,2030,1941,2030,249
1830,1831,37345,1831,1296,1831,1310,1831,166
707,708,37290,708,1288,708,1292,708,160
264,265,37235,265,1284,265,1282,265,162
371,372,37180,372,1298,372,1302,372,160
1993,1994,37180,1994,1288,1994,1300,1994,158
114,115,37180,115,1268,115,1272,115,160
1034,1035,37125,1035,634,1035,643,1035,81
364,365,37070,365,0,365,0,365,0
1566,1567,36993,1567,1282,1567,1278,1567,160
725,726,36960,726,1302,726,1300,726,160
1728,1729,36936,1729,1304,1729,1308,1729,164
1309,1310,36882,1310,1292,1310,1296,1310,156
1095,1096,36828,1096,648,1096,652,1096,81
1337,1338,36828,1338,3180,1338,3200,1338,405
1456,1457,36774,1457,3225,1457,3225,1457,385
1023,1024,36740,1024,0,1024,0,1024,0
32,33,36740,33,2544,33,2556,33,328
887,888,36720,888,2580,888,2592,888,320
1887,1888,36720,1888,2560,1888,2580,1888,316
1802,1803,36720,1803,1935,1803,1947,1803,246
1562,1563,36666,1563,1278,1563,1284,1563,162
442,443,36630,443,2592,443,2592,443,328
1099,1100,36612,1100,2568,1100,2600,1100,316
1233,1234,36612,1234,3205,1234,3245,1234,415
374,375,36612,375,0,375,0,375,0
1668,1669,36612,1669,1288,1669,1284,1669,166
70,71,36612,71,635,71,638,71,75
1946,1947,36575,1947,0,1947,0,1947,0
252,253,36558,253,1286,253,1296,253,162
1511,1512,36558,1512,1298,1512,1306,1512,166
1460,1461,36504,1461,1292,1461,1292,1461,164
1951,1952,36504,1952,1944,1952,1947,1952,243
1492,1493,36464,1493,652,1493,655,1493,82
309,310,36410,310,1288,310,1270,310,164
528,529,36396,529,638,529,637,529,70
644,645,36358,645,655,645,652,645,83
1817,1818,36355,1818,1250,1818,1310,1818,166
1356,1357,36252,1357,1294,1357,1292,1357,166
945,946,36234,946,1887,946,1923,946,237
2032,2033,36234,2033,1296,2033,1298,2033,164
1431,1432,36199,1432,1791,1432,1938,1432,246
601,602,36199,602,1284,602,1294,602,162
1911,1912,36180,1912,2528,1912,2560,1912,304
547,548,36180,548,645,548,627,548,82
1832,1833,36146,1833,2588,1833,2576,1833,328
340,341,36135,341,3744,341,3654,341,498
1476,1477,36135,1477,3816,1477,3822,1477,498
1693,1694,36093,1694,1938,1694,1947,1694,246
1629,1630,36025,1630,1272,1630,1236,1630,142
410,411,35987,411,1292,411,1276,411,162
412,413,35934,413,648,413,651,413,83
695,696,35934,696,1950,696,1935,696,237
1423,1424,35881,1424,1944,1424,1968,1424,246
546,547,35881,547,641,547,640,547,82
1864,1865,35828,1865,1292,1865,1276,1865,166
96,97,35828,97,1288,97,1292,97,164
1526,1527,35828,1527,2572,1527,2556,1527,308
347,348,35802,348,632,348,638,348,80
82,83,35775,83,3190,83,3200,83,405
1804,1805,35775,1805,1932,1805,1941,1805,249
323,324,35669,324,3165,324,3210,324,410
1644,1645,35620,1645,1932,1645,1938,1645,213
1206,1207,35616,1207,1272,1207,1284,1207,164
9,10,35616,10,1286,10,1292,10,142
1882,1883,35563,1883,1860,1883,1902,1883,243
578,579,35516,579,2580,579,2600,579,332
1336,1337,35510,1337,1290,1337,1294,1337,162
1894,1895,35510,1895,2548,1895,2564,1895,328
1486,1487,35464,1487,2580,1487,2600,1487,332
1131,1132,35412,1132,0,1132,0,1132,0
1240,1241,35404,1241,3175,1241,3180,1241,385
1375,1376,35360,1376,1932,1376,1941,1376,246
1191,1192,35360,1192,3250,1192,3255,1192,405
761,762,35308,762,1272,762,1288,762,142
360,361,35308,361,2580,361,2572,361,316
772,773,35308,773,2532,773,2616,773,332
1459,1460,35298,1460,1896,1460,1920,1460,240
1866,1867,35256,1867,1944,1867,1947,1867,246
1001,1002,35204,1002,2596,1002,2612,1002,320
454,455,35152,455,638,455,645,455,83
261,262,35048,262,1920,262,1923,262,234
1228,1229,35033,1229,638,1229,643,1229,83
1711,1712,34996,1712,2560,1712,2576,1712,332
318,319,34986,319,1300,319,1306,319,164
1298,1299,34986,1299,0,1299,0,1299,0
1408,1409,34980,1409,1890,1409,1944,1409,234
43,44,34944,44,1282,44,1302,44,164
1522,1523,34892,1523,640,1523,639,1523,82
1360,1361,34892,1361,641,1361,653,1361,81
1528,1529,34892,1529,1298,1529,1304,1529,152
850,851,34884,851,650,851,629,851,83
932,933,34840,933,648,933,648,933,83
822,823,34833,823,1258,823,1284,823,162
1509,1510,34736,1510,1917,1510,1920,1510,243
1518,1519,34731,1519,1294,1519,1298,1519,164
591,592,34680,592,0,592,0,592,0
683,684,34578,684,1266,684,1278,684,162
1563,1564,34578,1564,1282,1564,1284,1564,156
188,189,34476,189,1914,189,1953,189,234
560,561,34476,561,1929,561,1926,561,234
84,85,34425,85,1290,85,1296,85,164
573,574,34350,574,0,574,0,574,0
994,995,34323,995,1244,995,1262,995,156
966,967,34323,967,637,967,638,967,80
474,475,34323,475,1875,475,1884,475,237
1103,1104,34250,1104,1304,1104,1312,1104,166
595,596,34221,596,1887,596,1920,596,240
703,704,34221,704,1941,704,1935,704,249
620,621,34200,621,1300,621,1306,621,166
378,379,34200,379,645,379,645,379,83
464,465,34164,465,3105,465,3210,465,395
1200,1201,34150,1201,1290,1201,1294,1201,158
503,504,34150,504,1926,504,1947,504,237
256,257,34119,257,646,257,641,257,83
409,410,34119,410,1280,410,1286,410,150
759,760,34119,760,2532,760,2544,760,332
1685,1686,34100,1686,1935,1686,1953,1686,243
1083,1084,34068,1084,3185,1084,3230,1084,345
141,142,34050,142,1292,142,1304,142,166
2020,2021,34000,2021,1294,2021,1290,2021,166
1246,1247,34000,1247,647,1247,649,1247,78
863,864,34000,864,1290,864,1284,864,164
463,464,34000,464,637,464,645,464,76
1195,1196,33966,1196,1276,1196,1274,1196,164
1282,1283,33956,1283,641,1283,645,1283,78
1560,1561,33950,1561,642,1561,646,1561,81
612,613,33950,613,648,613,641,613,83
1904,1905,33950,1905,1292,1905,1302,1905,164
833,834,33900,834,1941,834,1938,834,243
734,735,33900,735,643,735,647,735,78
1470,1471,33864,1471,0,1471,0,1471,0
1138,1139,33800,1139,1926,1139,1953,1139,240
1306,1307,33762,1307,1278,1307,1290,1307,166
206,207,33761,207,1300,207,1300,207,166
251,252,33750,252,0,252,0,252,0
317,318,33663,318,1274,318,1298,318,164
11,12,33663,12,1956,12,1959,12,249
1333,1334,33663,1334,648,1334,648,1334,83
1538,1539,33650,1539,1932,1539,1938,1539,234
1480,1481,33600,1481,1944,1481,1953,1481,249
1876,1877,33600,1877,1944,1877,1956,1877,249
1317,1318,33565,1318,2552,1318,2580,1318,324
1146,1147,33500,1147,2500,1147,2576,1147,288
1316,1317,33467,1317,1290,1317,1294,1317,164
1820,1821,33467,1821,1284,1821,1300,1821,158
901,902,33418,902,1286,902,1294,902,162
907,908,33418,908,1944,908,1938,908,246
445,446,33418,446,1274,446,1290,446,164
184,185,33400,185,0,185,0,185,0
911,912,33369,912,1935,912,1923,912,249
1009,1010,33369,1010,2576,1010,2592,1010,332
299,300,33369,300,645,300,643,300,80
1754,1755,33369,1755,1920,1755,1938,1755,240
1870,1871,33320,1871,1944,1871,1953,1871,243
1896,1897,33320,1897,0,1897,0,1897,0
1106,1107,33271,1107,1938,1107,1938,1107,237
1798,1799,33271,1799,635,1799,645,1799,82
331,332,33271,332,1296,332,1284,332,166
362,363,33271,363,2592,363,2612,363,316
519,520,33222,520,649,520,643,520,80
1426,1427,33124,1427,1947,1427,1872,1427,249
613,614,33100,614,2955,614,3195,614,390
1666,1667,33100,1667,622,1667,625,1667,83
416,417,33075,417,2560,417,2580,417,320
1512,1513,33075,1513,1926,1513,1926,1513,243
523,524,33026,524,1270,524,1310,524,156
453,454,32977,454,1890,454,1914,454,237
1128,1129,32977,1129,2572,1129,2612,1129,332
1497,1498,32950,1498,2568,1498,2536,1498,320
1851,1852,32928,1852,642,1852,647,1852,82
1115,1116,32928,1116,1908,1116,1941,1116,234
954,955,32928,955,1956,955,1971,955,249
413,414,32832,414,645,414,643,414,83
1350,1351,32784,1351,1926,1351,1935,1351,237
1899,1900,32784,1900,642,1900,640,1900,80
811,812,32736,812,1935,812,1947,812,246
869,870,32736,870,648,870,647,870,82
1296,1297,32736,1297,1298,1297,1302,1297,164
1966,1967,32732,1967,2576,1967,2592,1967,320
979,980,32688,980,0,980,0,980,0
926,927,32688,927,1288,927,1292,927,166
345,346,32683,346,645,346,647,346,75
388,389,32650,389,1917,389,1932,389,240
849,850,32640,850,649,850,651,850,83
700,701,32640,701,643,701,645,701,78
654,655,32640,655,636,655,641,655,82
643,644,32600,644,626,644,627,644,79
1280,1281,32592,1281,2572,1281,2592,1281,332
1491,1492,32544,1492,1272,1492,1292,1492,162
507,508,32544,508,1266,508,1286,508,160
14,15,32544,15,645,15,641,15,82
1725,1726,32544,1726,1288,1726,1306,1726,164
582,583,32536,583,1248,583,1274,583,162
1327,1328,32536,1328,639,1328,638,1328,77
328,329,32487,329,1284,329,1294,329,160
955,956,32448,956,1296,956,1290,956,162
851,852,32448,852,1278,852,1296,852,164
771,772,32438,772,637,772,631,772,73
1198,1199,32438,1199,1278,1199,1306,1199,154
1628,1629,32400,1629,1296,1629,1308,1629,152
1523,1524,32352,1524,641,1524,626,1524,82
1642,1643,32352,1643,2580,1643,2596,1643,332
913,914,32352,914,633,914,623,914,81
432,433,32304,433,1923,433,1944,433,222
97,98,32256,98,1280,98,1300,98,158
1028,1029,32256,1029,1929,1029,1944,1029,234
1349,1350,32208,1350,1296,1350,1298,1350,138
1036,1037,32148,1037,1908,1037,1947,1037,240
611,612,32101,612,1905,612,1938,612,249
917,918,32101,918,645,918,650,918,80
290,291,32054,291,2580,291,2572,291,332
1531,1532,32054,1532,2564,1532,2584,1532,332
543,544,32007,544,647,544,653,544,82
1922,1923,32007,1923,2592,1923,2592,1923,324
117,118,32007,118,1288,118,1292,118,154
296,297,31960,297,1304,297,1302,297,160
39,40,31960,40,646,40,649,40,82
80,81,31960,81,1941,81,1962,81,243
136,137,31913,137,2576,137,2596,137,332
1634,1635,31866,1635,643,1635,641,1635,81
1041,1042,31866,1042,640,1042,644,1042,72
1740,1741,31819,1741,1278,1741,1284,1741,166
1517,1518,31819,1518,1294,1518,1286,1518,164
1292,1293,31786,1293,650,1293,654,1293,83
1574,1575,31772,1575,1302,1575,1302,1575,164
745,746,31772,746,636,746,641,746,70
1669,1670,31725,1670,1298,1670,1302,1670,160
1988,1989,31631,1989,1284,1989,1290,1989,162
534,535,31631,535,635,535,641,535,82
359,360,31631,360,1929,360,1938,360,225
325,326,31602,326,1902,326,1935,326,243
1362,1363,31584,1363,0,1363,0,1363,0
485,486,31584,486,1288,486,1290,486,164
1021,1022,31556,1022,1890,1022,1947,1022,249
101,102,31537,102,0,102,0,102,0
890,891,31443,891,2560,891,2576,891,312
2037,2038,31418,2038,1302,2038,1254,2038,166
1107,1108,31396,1108,1286,1108,1306,1108,162
1170,1171,31396,1171,650,1171,638,1171,81
960,961,31372,961,0,961,0,961,0
472,473,31349,473,1250,473,1276,473,164
